0.00.315.731 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.318.358 I srv    load_model: loading model '/home/quinna/models/Ornith-1.0-35B-GGUF/ornith-1.0-35b-Q4_K_M.gguf'
0.12.069.506 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 131072, kv_unified = 'true'
0.12.086.387 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.086.426 I srv  llama_server: model loaded
0.12.086.430 I srv  llama_server: listening on http://127.0.0.1:8091
1.52.437.259 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.55.142.137 I slot print_timing: id  3 | task 1095 | n_decoded =   1231, tg =  68.24 t/s, tg_3s =  68.07 t/s
2.58.142.350 I slot print_timing: id  3 | task 1095 | n_decoded =   1435, tg =  68.21 t/s, tg_3s =  68.00 t/s
3.01.152.703 I slot print_timing: id  3 | task 1095 | n_decoded =   1639, tg =  68.15 t/s, tg_3s =  67.77 t/s
3.04.164.700 I slot print_timing: id  3 | task 1095 | n_decoded =   1843, tg =  68.11 t/s, tg_3s =  67.73 t/s
3.07.167.888 I slot print_timing: id  3 | task 1095 | n_decoded =   2047, tg =  68.09 t/s, tg_3s =  67.93 t/s
3.10.169.850 I slot print_timing: id  3 | task 1095 | n_decoded =   2250, tg =  68.05 t/s, tg_3s =  67.62 t/s
3.13.171.749 I slot print_timing: id  3 | task 1095 | n_decoded =   2453, tg =  68.01 t/s, tg_3s =  67.62 t/s
3.16.175.964 I slot print_timing: id  3 | task 1095 | n_decoded =   2656, tg =  67.98 t/s, tg_3s =  67.57 t/s
3.19.186.387 I slot print_timing: id  3 | task 1095 | n_decoded =   2859, tg =  67.94 t/s, tg_3s =  67.43 t/s
3.22.197.748 I slot print_timing: id  3 | task 1095 | n_decoded =   3062, tg =  67.90 t/s, tg_3s =  67.41 t/s
3.25.201.720 I slot print_timing: id  3 | task 1095 | n_decoded =   3264, tg =  67.86 t/s, tg_3s =  67.24 t/s
3.28.208.829 I slot print_timing: id  3 | task 1095 | n_decoded =   3466, tg =  67.82 t/s, tg_3s =  67.17 t/s
3.31.220.112 I slot print_timing: id  3 | task 1095 | n_decoded =   3668, tg =  67.78 t/s, tg_3s =  67.08 t/s
3.34.223.632 I slot print_timing: id  3 | task 1095 | n_decoded =   3869, tg =  67.73 t/s, tg_3s =  66.92 t/s
3.37.226.773 I slot print_timing: id  3 | task 1095 | n_decoded =   4070, tg =  67.69 t/s, tg_3s =  66.93 t/s
3.40.237.724 I slot print_timing: id  3 | task 1095 | n_decoded =   4271, tg =  67.65 t/s, tg_3s =  66.76 t/s
3.43.250.713 I slot print_timing: id  3 | task 1095 | n_decoded =   4472, tg =  67.61 t/s, tg_3s =  66.71 t/s
3.46.254.321 I slot print_timing: id  3 | task 1095 | n_decoded =   4672, tg =  67.56 t/s, tg_3s =  66.59 t/s
3.49.260.763 I slot print_timing: id  3 | task 1095 | n_decoded =   4873, tg =  67.53 t/s, tg_3s =  66.86 t/s
3.52.261.939 I slot print_timing: id  3 | task 1095 | n_decoded =   5073, tg =  67.50 t/s, tg_3s =  66.64 t/s
3.55.274.714 I slot print_timing: id  3 | task 1095 | n_decoded =   5272, tg =  67.44 t/s, tg_3s =  66.05 t/s
3.57.067.307 I slot print_timing: id  3 | task 1095 | prompt eval time =    2808.35 ms /  4788 tokens (    0.59 ms per token,  1704.92 tokens per second)
3.57.067.310 I slot print_timing: id  3 | task 1095 |        eval time =   79963.68 ms /  5390 tokens (   14.84 ms per token,    67.41 tokens per second)
3.57.067.311 I slot print_timing: id  3 | task 1095 |       total time =   82772.04 ms / 10178 tokens
3.57.067.312 I slot print_timing: id  3 | task 1095 |    graphs reused =       6387
3.57.067.958 I slot      release: id  3 | task 1095 | stop processing: n_tokens = 34047, truncated = 0
3.57.149.636 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.989 (> 0.100 thold), f_keep = 0.842
3.57.150.002 I slot launch_slot_: id  3 | task 6490 | processing task, is_child = 0
4.01.183.431 I slot print_timing: id  3 | task 6490 | n_decoded =    205, tg =  68.12 t/s, tg_3s =  68.12 t/s
4.04.196.547 I slot print_timing: id  3 | task 6490 | n_decoded =    408, tg =  67.75 t/s, tg_3s =  67.37 t/s
4.07.203.910 I slot print_timing: id  3 | task 6490 | n_decoded =    610, tg =  67.55 t/s, tg_3s =  67.17 t/s
4.08.865.377 I slot print_timing: id  3 | task 6490 | prompt eval time =    1023.77 ms /  1425 tokens (    0.72 ms per token,  1391.92 tokens per second)
4.08.865.380 I slot print_timing: id  3 | task 6490 |        eval time =   10691.36 ms /   722 tokens (   14.81 ms per token,    67.53 tokens per second)
4.08.865.380 I slot print_timing: id  3 | task 6490 |       total time =   11715.13 ms /  2147 tokens
4.08.865.381 I slot print_timing: id  3 | task 6490 |    graphs reused =       7105
4.08.866.024 I slot      release: id  3 | task 6490 | stop processing: n_tokens = 29696, truncated = 0
4.08.926.536 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.967 (> 0.100 thold), f_keep = 0.976
4.08.926.867 I slot launch_slot_: id  3 | task 7216 | processing task, is_child = 0
4.10.725.865 I slot print_timing: id  3 | task 7216 | prompt eval time =     755.78 ms /  1022 tokens (    0.74 ms per token,  1352.24 tokens per second)
4.10.725.868 I slot print_timing: id  3 | task 7216 |        eval time =    1043.00 ms /    71 tokens (   14.69 ms per token,    68.07 tokens per second)
4.10.725.869 I slot print_timing: id  3 | task 7216 |       total time =    1798.78 ms /  1093 tokens
4.10.725.870 I slot print_timing: id  3 | task 7216 |    graphs reused =       7174
4.10.726.544 I slot      release: id  3 | task 7216 | stop processing: n_tokens = 30045, truncated = 0
4.10.788.333 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.947 (> 0.100 thold), f_keep = 0.998
4.10.788.692 I slot launch_slot_: id  3 | task 7291 | processing task, is_child = 0
4.15.114.417 I slot print_timing: id  3 | task 7291 | n_decoded =    202, tg =  67.07 t/s, tg_3s =  67.07 t/s
4.18.114.839 I slot print_timing: id  3 | task 7291 | n_decoded =    402, tg =  66.86 t/s, tg_3s =  66.66 t/s
4.19.257.232 I slot print_timing: id  3 | task 7291 | prompt eval time =    1313.63 ms /  1967 tokens (    0.67 ms per token,  1497.37 tokens per second)
4.19.257.235 I slot print_timing: id  3 | task 7291 |        eval time =    7154.69 ms /   478 tokens (   14.97 ms per token,    66.81 tokens per second)
4.19.257.235 I slot print_timing: id  3 | task 7291 |       total time =    8468.33 ms /  2445 tokens
4.19.257.236 I slot print_timing: id  3 | task 7291 |    graphs reused =       7648
4.19.257.890 I slot      release: id  3 | task 7291 | stop processing: n_tokens = 32117, truncated = 0
4.19.321.608 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.992 (> 0.100 thold), f_keep = 0.985
4.19.321.952 I slot launch_slot_: id  3 | task 7773 | processing task, is_child = 0
4.23.695.733 I slot print_timing: id  3 | task 7773 | n_decoded =    201, tg =  66.98 t/s, tg_3s =  66.98 t/s
4.26.703.787 I slot print_timing: id  3 | task 7773 | n_decoded =    402, tg =  66.90 t/s, tg_3s =  66.82 t/s
4.29.716.880 I slot print_timing: id  3 | task 7773 | n_decoded =    603, tg =  66.83 t/s, tg_3s =  66.71 t/s
4.32.721.671 I slot print_timing: id  3 | task 7773 | n_decoded =    803, tg =  66.77 t/s, tg_3s =  66.56 t/s
4.35.723.508 I slot print_timing: id  3 | task 7773 | n_decoded =   1003, tg =  66.74 t/s, tg_3s =  66.63 t/s
4.38.725.958 I slot print_timing: id  3 | task 7773 | n_decoded =   1202, tg =  66.66 t/s, tg_3s =  66.28 t/s
4.41.741.178 I slot print_timing: id  3 | task 7773 | n_decoded =   1402, tg =  66.61 t/s, tg_3s =  66.33 t/s
4.44.749.883 I slot print_timing: id  3 | task 7773 | n_decoded =   1601, tg =  66.56 t/s, tg_3s =  66.14 t/s
4.47.757.981 I slot print_timing: id  3 | task 7773 | n_decoded =   1800, tg =  66.51 t/s, tg_3s =  66.15 t/s
4.50.772.250 I slot print_timing: id  3 | task 7773 | n_decoded =   1999, tg =  66.46 t/s, tg_3s =  66.02 t/s
4.53.772.450 I slot print_timing: id  3 | task 7773 | n_decoded =   2197, tg =  66.42 t/s, tg_3s =  66.00 t/s
4.56.774.382 I slot print_timing: id  3 | task 7773 | n_decoded =   2395, tg =  66.38 t/s, tg_3s =  65.96 t/s
4.59.788.740 I slot print_timing: id  3 | task 7773 | n_decoded =   2594, tg =  66.35 t/s, tg_3s =  66.02 t/s
5.02.801.018 I slot print_timing: id  3 | task 7773 | n_decoded =   2792, tg =  66.31 t/s, tg_3s =  65.73 t/s
5.05.804.965 I slot print_timing: id  3 | task 7773 | n_decoded =   2989, tg =  66.26 t/s, tg_3s =  65.58 t/s
5.08.806.106 I slot print_timing: id  3 | task 7773 | n_decoded =   3186, tg =  66.22 t/s, tg_3s =  65.64 t/s
5.11.811.021 I slot print_timing: id  3 | task 7773 | n_decoded =   3383, tg =  66.18 t/s, tg_3s =  65.56 t/s
5.13.846.654 I slot print_timing: id  3 | task 7773 | prompt eval time =    1372.48 ms /  1861 tokens (    0.74 ms per token,  1355.94 tokens per second)
5.13.846.658 I slot print_timing: id  3 | task 7773 |        eval time =   53152.00 ms /  3516 tokens (   15.12 ms per token,    66.15 tokens per second)
5.13.846.658 I slot print_timing: id  3 | task 7773 |       total time =   54524.48 ms /  5377 tokens
5.13.846.659 I slot print_timing: id  3 | task 7773 |    graphs reused =      11148
5.13.847.417 I slot      release: id  3 | task 7773 | stop processing: n_tokens = 35395, truncated = 0
5.13.940.944 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.901 (> 0.100 thold), f_keep = 0.901
5.13.941.441 I slot launch_slot_: id  3 | task 11293 | processing task, is_child = 0
5.19.313.861 I slot print_timing: id  3 | task 11293 | n_decoded =    197, tg =  65.52 t/s, tg_3s =  65.52 t/s
5.22.327.450 I slot print_timing: id  3 | task 11293 | n_decoded =    394, tg =  65.45 t/s, tg_3s =  65.37 t/s
5.25.339.937 I slot print_timing: id  3 | task 11293 | n_decoded =    591, tg =  65.43 t/s, tg_3s =  65.39 t/s
5.28.344.624 I slot print_timing: id  3 | task 11293 | n_decoded =    787, tg =  65.38 t/s, tg_3s =  65.23 t/s
5.31.357.541 I slot print_timing: id  3 | task 11293 | n_decoded =    983, tg =  65.31 t/s, tg_3s =  65.05 t/s
5.34.365.957 I slot print_timing: id  3 | task 11293 | n_decoded =   1179, tg =  65.29 t/s, tg_3s =  65.15 t/s
5.37.374.470 I slot print_timing: id  3 | task 11293 | n_decoded =   1374, tg =  65.22 t/s, tg_3s =  64.82 t/s
5.40.387.879 I slot print_timing: id  3 | task 11293 | n_decoded =   1569, tg =  65.16 t/s, tg_3s =  64.71 t/s
5.43.393.164 I slot print_timing: id  3 | task 11293 | n_decoded =   1763, tg =  65.09 t/s, tg_3s =  64.55 t/s
5.46.397.510 I slot print_timing: id  3 | task 11293 | n_decoded =   1957, tg =  65.04 t/s, tg_3s =  64.57 t/s
5.49.405.261 I slot print_timing: id  3 | task 11293 | n_decoded =   2151, tg =  64.99 t/s, tg_3s =  64.50 t/s
5.52.406.402 I slot print_timing: id  3 | task 11293 | n_decoded =   2344, tg =  64.93 t/s, tg_3s =  64.31 t/s
5.55.407.814 I slot print_timing: id  3 | task 11293 | n_decoded =   2537, tg =  64.88 t/s, tg_3s =  64.30 t/s
5.58.414.394 I slot print_timing: id  3 | task 11293 | n_decoded =   2730, tg =  64.83 t/s, tg_3s =  64.19 t/s
6.01.429.946 I slot print_timing: id  3 | task 11293 | n_decoded =   2923, tg =  64.78 t/s, tg_3s =  64.00 t/s
6.04.443.415 I slot print_timing: id  3 | task 11293 | n_decoded =   3116, tg =  64.73 t/s, tg_3s =  64.05 t/s
6.07.449.142 I slot print_timing: id  3 | task 11293 | n_decoded =   3308, tg =  64.68 t/s, tg_3s =  63.88 t/s
6.10.463.472 I slot print_timing: id  3 | task 11293 | n_decoded =   3501, tg =  64.65 t/s, tg_3s =  64.03 t/s
6.13.468.120 I slot print_timing: id  3 | task 11293 | n_decoded =   3693, tg =  64.61 t/s, tg_3s =  63.90 t/s
6.16.476.837 I slot print_timing: id  3 | task 11293 | n_decoded =   3885, tg =  64.57 t/s, tg_3s =  63.81 t/s
6.19.478.192 I slot print_timing: id  3 | task 11293 | n_decoded =   4076, tg =  64.52 t/s, tg_3s =  63.64 t/s
6.22.487.941 I slot print_timing: id  3 | task 11293 | n_decoded =   4268, tg =  64.49 t/s, tg_3s =  63.79 t/s
6.25.490.210 I slot print_timing: id  3 | task 11293 | n_decoded =   4459, tg =  64.45 t/s, tg_3s =  63.62 t/s
6.28.499.522 I slot print_timing: id  3 | task 11293 | n_decoded =   4650, tg =  64.41 t/s, tg_3s =  63.47 t/s
6.31.507.089 I slot print_timing: id  3 | task 11293 | n_decoded =   4841, tg =  64.38 t/s, tg_3s =  63.51 t/s
6.34.519.240 I slot print_timing: id  3 | task 11293 | n_decoded =   5032, tg =  64.34 t/s, tg_3s =  63.41 t/s
6.37.530.472 I slot print_timing: id  3 | task 11293 | n_decoded =   5223, tg =  64.30 t/s, tg_3s =  63.43 t/s
6.40.544.370 I slot print_timing: id  3 | task 11293 | n_decoded =   5414, tg =  64.27 t/s, tg_3s =  63.37 t/s
6.43.558.158 I slot print_timing: id  3 | task 11293 | n_decoded =   5604, tg =  64.23 t/s, tg_3s =  63.04 t/s
6.46.565.254 I slot print_timing: id  3 | task 11293 | n_decoded =   5794, tg =  64.19 t/s, tg_3s =  63.18 t/s
6.49.567.962 I slot print_timing: id  3 | task 11293 | n_decoded =   5982, tg =  64.14 t/s, tg_3s =  62.61 t/s
6.52.570.786 I slot print_timing: id  3 | task 11293 | n_decoded =   6170, tg =  64.09 t/s, tg_3s =  62.61 t/s
6.55.580.676 I slot print_timing: id  3 | task 11293 | n_decoded =   6359, tg =  64.06 t/s, tg_3s =  62.79 t/s
6.58.591.407 I slot print_timing: id  3 | task 11293 | n_decoded =   6548, tg =  64.02 t/s, tg_3s =  62.78 t/s
7.01.603.528 I slot print_timing: id  3 | task 11293 | n_decoded =   6737, tg =  63.98 t/s, tg_3s =  62.75 t/s
7.04.608.112 I slot print_timing: id  3 | task 11293 | n_decoded =   6925, tg =  63.94 t/s, tg_3s =  62.57 t/s
7.07.616.305 I slot print_timing: id  3 | task 11293 | n_decoded =   7113, tg =  63.90 t/s, tg_3s =  62.50 t/s
7.10.631.569 I slot print_timing: id  3 | task 11293 | n_decoded =   7302, tg =  63.87 t/s, tg_3s =  62.68 t/s
7.13.638.433 I slot print_timing: id  3 | task 11293 | n_decoded =   7490, tg =  63.84 t/s, tg_3s =  62.52 t/s
7.16.640.000 I slot print_timing: id  3 | task 11293 | n_decoded =   7677, tg =  63.80 t/s, tg_3s =  62.30 t/s
7.19.642.602 I slot print_timing: id  3 | task 11293 | n_decoded =   7864, tg =  63.76 t/s, tg_3s =  62.28 t/s
7.22.649.339 I slot print_timing: id  3 | task 11293 | n_decoded =   8051, tg =  63.72 t/s, tg_3s =  62.19 t/s
7.24.919.722 I slot print_timing: id  3 | task 11293 | prompt eval time =    2365.60 ms /  3539 tokens (    0.67 ms per token,  1496.03 tokens per second)
7.24.919.724 I slot print_timing: id  3 | task 11293 |        eval time =  128612.46 ms /  8192 tokens (   15.70 ms per token,    63.70 tokens per second)
7.24.919.725 I slot print_timing: id  3 | task 11293 |       total time =  130978.06 ms / 11731 tokens
7.24.919.726 I slot print_timing: id  3 | task 11293 |    graphs reused =      19306
7.24.920.470 I slot      release: id  3 | task 11293 | stop processing: n_tokens = 43587, truncated = 0
7.25.016.319 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.936 (> 0.100 thold), f_keep = 0.812
7.25.016.836 I slot launch_slot_: id  3 | task 19490 | processing task, is_child = 0
7.29.660.454 I slot print_timing: id  3 | task 19490 | n_decoded =    194, tg =  64.44 t/s, tg_3s =  64.44 t/s
7.32.670.321 I slot print_timing: id  3 | task 19490 | n_decoded =    387, tg =  64.28 t/s, tg_3s =  64.12 t/s
7.35.685.324 I slot print_timing: id  3 | task 19490 | n_decoded =    581, tg =  64.30 t/s, tg_3s =  64.34 t/s
7.38.691.515 I slot print_timing: id  3 | task 19490 | n_decoded =    774, tg =  64.28 t/s, tg_3s =  64.20 t/s
7.41.703.271 I slot print_timing: id  3 | task 19490 | n_decoded =    967, tg =  64.24 t/s, tg_3s =  64.08 t/s
7.44.703.288 I slot print_timing: id  3 | task 19490 | n_decoded =   1159, tg =  64.20 t/s, tg_3s =  64.00 t/s
7.47.718.620 I slot print_timing: id  3 | task 19490 | n_decoded =   1352, tg =  64.17 t/s, tg_3s =  64.01 t/s
7.50.721.647 I slot print_timing: id  3 | task 19490 | n_decoded =   1544, tg =  64.14 t/s, tg_3s =  63.94 t/s
7.53.728.826 I slot print_timing: id  3 | task 19490 | n_decoded =   1736, tg =  64.11 t/s, tg_3s =  63.85 t/s
7.56.735.771 I slot print_timing: id  3 | task 19490 | n_decoded =   1927, tg =  64.05 t/s, tg_3s =  63.52 t/s
7.59.747.662 I slot print_timing: id  3 | task 19490 | n_decoded =   2119, tg =  64.02 t/s, tg_3s =  63.75 t/s
8.02.752.839 I slot print_timing: id  3 | task 19490 | n_decoded =   2310, tg =  63.98 t/s, tg_3s =  63.56 t/s
8.05.762.606 I slot print_timing: id  3 | task 19490 | n_decoded =   2501, tg =  63.94 t/s, tg_3s =  63.46 t/s
8.08.769.566 I slot print_timing: id  3 | task 19490 | n_decoded =   2692, tg =  63.91 t/s, tg_3s =  63.52 t/s
8.11.777.158 I slot print_timing: id  3 | task 19490 | n_decoded =   2883, tg =  63.89 t/s, tg_3s =  63.51 t/s
8.14.777.686 I slot print_timing: id  3 | task 19490 | n_decoded =   3073, tg =  63.85 t/s, tg_3s =  63.32 t/s
